epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro
Seca,2023,Seca 2023,E22,SC-23-0204,33.0,32.4,1.25,1.9813611285881423,1.8588952478424663,,,,,,,,,,,,
Seca,2023,Seca 2023,E14,SC-23-0208,32.9,19.2,5.5,2.100239994919241,2.0004844141600957,,,,,,,,,,,,
Seca,2023,Seca 2023,E43,SC-23-0210,31.7,33.7,4.83,2.6183667700070465,2.369479568556171,,,,,,,,,,,,
Seca,2023,Seca 2023,E40,SC-23-0211,31.0,33.7,0.61,3.5298325529164374,3.218075436443079,,,,,,,,,,,,
Seca,2023,Seca 2023,E36,SC-23-0212,31.0,33.3,4.38,3.1225379324751024,2.853102840955516,,,,,,,,,,,,
Seca,2023,Seca 2023,E34,SC-23-0213,31.3,22.1,4.54,1.9835962205249278,1.886515851525819,,,,,,,,,,,,
Seca,2023,Seca 2023,E11,SC-23-0214,31.3,27.5,1.61,2.1301151722682072,1.9342888417955162,,,,,,,,,,,,
Seca,2023,Seca 2023,E12,SC-23-0217,31.3,20.7,11.32,2.253657117932541,2.1319855196518054,,,,,,,,,,,,
Seca,2023,Seca 2023,E33,SC-23-0221,32.2,17.6,15.61,2.0262255601069064,1.9358740655247055,,,,,,,,,,,,
Seca,2023,Seca 2023,E25,SC-23-0222,32.3,18.1,3.51,2.171808800096651,2.051534111761516,,,,,,,,,,,,
Seca,2023,Seca 2023,E27,SC-23-0223,31.9,17.4,3.38,2.0274890277295827,1.9089992060696468,,,,,,,,,,,,
Seca,2023,Seca 2023,E28,SC-23-0225,31.8,23.2,2.52,2.328672396664174,2.1791172978112683,,,,,,,,,,,,
Seca,2023,Seca 2023,E29,SC-23-0226,31.9,24.3,0.86,1.7545001064627992,1.6699673835067768,,,,,,,,,,,,
Seca,2023,Seca 2023,E24,SC-23-0227,33.0,18.2,11.03,2.0096235169364385,1.890282602815559,,,,,,,,,,,,
Seca,2023,Seca 2023,E31,SC-23-0228,32.2,27.7,3.96,2.161148480424132,2.007654363657334,,,,,,,,,,,,
Seca,2023,Seca 2023,E30,SC-23-0230,33.6,25.5,0.99,1.827905656746717,1.708489585115566,,,,,,,,,,,,
Seca,2023,Seca 2023,E18,SC-23-0231,32.5,22.5,5.7,1.9381388299016928,1.8121410146269519,,,,,,,,,,,,
Seca,2023,Seca 2023,E21,SC-23-0232,33.4,14.0,0.33,2.3247425962034174,2.1413985243902216,,,,,,,,,,,,
Humeda,2022,Humeda 2022,E51,SC-22-0415,30.1,30.8,17.69,2.966004348426539,2.8622697957139445,,0.2137971986255745,0.20631974607821219,0.07322207557331156,0.07208256411997292,0.07087239174742316,0.2879354881369553,0.07912866684436391,0.0741382895113808,0.007046102724390996,2.966004348426539,2.9111441139661234
Humeda,2022,Humeda 2022,E01,SC-22-0416,30.8,33.1,11.38,2.8052139393636355,2.7258619083396396,,0.05895869128062356,0.05729090693306127,0.020947569017660116,0.021017538253784086,0.020826413747745992,0.19499265988370845,0.030561601947442826,0.1360339686030849,0.009544063693658738,2.8052139393636355,2.7508772094409086
