epoca,anio,campana,etiqueta,estacion,temperatura,salinidad,turbidez,br440_compendio,br443_compendio,br440_flag,aphy440,aphy443,aphy675,aphy676,aphy677,ap440,ap676,ad440,ad676,br440_espectro,br443_espectro,br,br443,qc_rango,qc_turbidez,qc_temp,valido,clase,clase443,clase_qc,zona,CP1,CP2,grupo2,grupo3,grupo4
Seca,2022,Seca 2022,E28,SC-22-0167,28.94,28.59,4.67,2.197120676611186,2.1384199299487707,,0.2626006708607054,0.2555847360430738,0.1214031550273358,0.1195203675684021,0.1163204996669464,0.4974469123132834,0.1401793231133548,0.234846241452578,0.0206589555449527,2.197120676611186,2.197245857564869,2.197120676611186,2.1384199299487707,True,True,True,True,Micro,Micro,Micro,Baja influencia,1.097288887749664,-0.09552974491400154,1,1,1
Seca,2022,Seca 2022,E29,SC-22-0168,29.31,33.5,5.18,2.201442183565343,2.150961613234441,,0.3563976784438908,0.3482252366660561,0.1638930143028754,0.1618928178557419,0.1546602995790218,0.6241436865409683,0.1891236480876565,0.2677460080970775,0.0272308302319145,2.201442183565343,2.251548959971687,2.201442183565343,2.150961613234441,True,True,True,True,Micro,Micro,Micro,Baja influencia,1.3782409661965227,0.08563266345173651,1,1,1
Seca,2022,Seca 2022,E30,SC-22-0170,31.08,33.32,9.66,2.387284072556569,2.299829735403952,,0.6602111241399767,0.6360253446149564,0.2770651284139874,0.2765532312344166,0.2680752905412853,1.1141176442380023,0.3252028009810843,0.4539065200980255,0.0486495697466676,2.387284072556569,2.372562362352469,2.387284072556569,2.299829735403952,True,True,True,True,Micro,Micro,Micro,Baja influencia,0.5390409013640282,0.1696181888408661,1,1,1
Seca,2022,Seca 2022,E31,SC-22-0172,28.81,29.63,3.1,2.488381682261376,2.33097414250843,,0.1923715437585988,0.1802026985861014,0.0796553047807621,0.0773078925672594,0.0768397726084396,0.3942607129193688,0.0945120822610836,0.20188916916077,0.0172041896938241,2.488381682261376,2.3451748029549595,2.488381682261376,2.33097414250843,True,True,True,True,Micro,Micro,Micro,Baja influencia,1.5213945095538122,-0.2007232544742893,1,1,1
Seca,2022,Seca 2022,E18,SC-22-0175,29.79,20.44,9.66,2.595893992026295,2.4179460924945637,,0.2925507115339653,0.2724964316658776,0.114989197030234,0.1126974801099666,0.1090867830897555,0.6783821001773821,0.1478568509282118,0.3858313886434168,0.0351593708182452,2.595893992026295,2.4979784346713214,2.595893992026295,2.4179460924945637,True,True,True,True,Nano,Micro,Nano,Alta influencia,-0.07527101922270185,-0.7429294410332096,2,3,3
Seca,2022,Seca 2022,E21,SC-22-0176,30.86,15.83,13.32,2.6706120809612988,2.540761623457301,,0.4248863784099099,0.4042275597753877,0.1635365749162951,0.1590970030574302,0.1522170195533648,1.144074546808441,0.2202007644069581,0.7191881683985311,0.0611037613495278,2.6706120809612988,2.6556002801885903,2.6706120809612988,2.540761623457301,True,True,True,True,Nano,Nano,Nano,Alta influencia,-0.9997778182222095,-0.7378312057442882,2,2,2
Seca,2022,Seca 2022,E22,SC-22-0178,30.75,16.01,14.02,2.832428370614382,2.637279191598381,,0.4098294342416629,0.381592929319385,0.1456227903819433,0.1446918970638494,0.1348693624462693,1.401593366605271,0.2309309275178303,0.9917639323636076,0.0862390304539808,2.832428370614382,2.829352214602543,2.832428370614382,2.637279191598381,True,True,True,True,Nano,Nano,Nano,Alta influencia,-0.8871891931214138,-0.9470014444905925,2,2,2
Seca,2023,Seca 2023,E49,SC-23-0164,30.5,29.4,0.46,2.851119519069473,2.4783879115639604,,,,,,,,,,,,,2.851119519069473,2.4783879115639604,True,True,True,True,Nano,Micro,Nano,Baja influencia,1.6981958223283053,0.8615422268030684,1,1,1
Seca,2023,Seca 2023,E51,SC-23-0166,30.8,31.3,0.0,3.307533217568853,2.580754562261572,,,,,,,,,,,,,3.307533217568853,2.580754562261572,True,True,True,True,Pico,Nano,Pico,Baja influencia,2.7621469842532833,1.5929154117688074,1,1,1
Seca,2023,Seca 2023,E3,SC-23-0167,31.8,15.3,5.81,2.4868329537485803,2.225053320485982,,,,,,,,,,,,,2.4868329537485803,2.225053320485982,True,True,True,True,Micro,Micro,Micro,Alta influencia,-1.1937024292700043,0.1057262125263411,2,3,4
